Sum of users,Column Labels,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,Grand Total,,,,
acer aspire desktop,9,26,23,23,29,25,22,24,28,29,29,30,28,33,31,35,39,30,1,494,,26,,
acer aspire notebook,20,33,41,40,47,41,43,40,47,35,49,49,53,60,55,55,46,63,3,820,,43.15789474,,10.27777778
amazon fire phone,4,9,12,11,5,5,16,11,13,13,10,6,12,12,14,12,14,11,,190,,10.55555556,,
asus chromebook,21,42,27,41,38,52,49,43,38,49,52,50,49,56,56,62,49,47,6,827,,43.52631579,,
dell inspiron desktop,18,58,36,52,41,52,53,59,52,60,53,56,54,54,44,57,37,49,1,886,,46.63157895,,
dell inspiron notebook,46,77,83,84,80,92,103,99,105,89,89,103,113,127,113,104,110,105,9,1731,,91.10526316,,
hp pavilion desktop,14,37,40,30,44,38,54,56,52,46,56,56,58,42,51,51,38,36,1,800,,42.10526316,,
htc one,16,19,30,29,21,24,20,20,21,23,27,26,31,31,13,18,19,25,2,415,,21.84210526,,
ipad air,27,52,55,59,51,58,41,57,57,56,55,54,52,70,55,48,40,39,,926,,51.44444444,,
ipad mini,19,30,36,32,23,34,33,39,30,43,35,35,34,35,27,30,28,25,2,570,,30,,
iphone 4s,21,46,44,55,45,45,53,53,40,50,67,61,60,65,56,34,35,50,6,886,,46.63157895,,
iphone 5,65,113,115,125,137,125,152,142,137,152,163,151,144,152,135,119,110,101,2,2340,,123.1578947,,
iphone 5s,42,73,79,79,74,71,79,79,78,94,83,93,90,103,71,67,65,70,3,1393,,73.31578947,,
kindle fire,6,27,21,23,30,21,25,25,24,26,25,31,37,25,14,12,14,13,3,402,,21.15789474,,
lenovo thinkpad,86,153,178,173,167,176,176,165,197,192,202,220,209,206,207,179,191,193,16,3286,,172.9473684,,
mac mini,6,13,18,26,18,25,18,29,21,11,15,28,31,23,24,20,32,30,2,390,,20.52631579,,
macbook air,54,121,112,119,110,145,124,152,121,134,142,148,148,159,147,125,133,136,10,2340,,123.1578947,,
macbook pro,143,252,266,256,247,251,266,255,275,269,302,295,295,322,321,307,312,292,17,4943,,260.1578947,,
nexus 10,16,30,25,22,25,27,45,38,29,29,37,26,25,36,24,30,23,25,2,514,,27.05263158,,
nexus 5,40,73,87,103,91,96,88,87,89,87,84,85,77,84,69,67,70,70,4,1451,,76.36842105,,
nexus 7,18,30,41,32,29,45,36,49,51,46,40,39,45,62,38,25,30,33,2,691,,36.36842105,,
nokia lumia 635,17,33,23,22,25,25,31,35,37,42,31,35,43,34,28,28,27,17,2,535,,28.15789474,,
samsumg galaxy tablet,8,11,6,9,6,10,14,11,12,12,15,9,13,9,8,6,12,14,,185,,10.27777778,,
samsung galaxy note,7,15,11,18,20,19,14,20,14,9,15,10,16,15,14,12,13,13,1,256,,13.47368421,,
samsung galaxy s4,52,82,91,93,84,105,99,101,99,112,116,122,123,103,100,82,80,90,6,1740,,91.57894737,,
windows surface,10,10,16,21,17,15,14,22,22,21,33,33,28,19,19,10,15,18,3,346,,18.21052632,,
Grand Total,785,1465,1516,1577,1504,1622,1668,1711,1689,1729,1825,1851,1868,1937,1734,1595,1582,1595,104,29357,,,,
